customer_id,current_logins,current_feature_usage,current_session_mins,current_api_calls,current_support_tickets,login_trend_3w,feature_trend_3w,session_trend_3w,api_trend_3w,avg_logins_4w,avg_session_4w,avg_api_4w,total_tickets_4w,login_volatility,session_volatility,total_weeks,plan,industry,monthly_revenue,nps_score,feature_adoption_rate,churned,plan_encoded,industry_encoded,churn_probability,risk_level
CUST10021,2,13,37,65,0,-1.333,-0.667,3.333,-8.667,4.5,32.5,90.75,1,1.915,4.435,9,enterprise,edtech,19999,10,0.14,False,0,1,0.055487446,Low
CUST10022,4,2,25,84,0,0.333,0.667,-2.333,-16.0,4.0,23.0,86.0,1,0.816,6.976,21,starter,logistics,999,3,0.18,True,3,4,0.9737159,High
CUST10023,4,4,29,91,0,-1.0,0.0,5.667,-13.333,4.75,20.5,105.5,1,1.708,7.047,30,growth,fintech,2999,2,0.51,False,1,2,0.04357755,Low
CUST10024,4,7,39,153,0,-0.333,2.333,4.0,21.667,5.25,31.25,99.75,0,1.893,5.679,36,starter,edtech,999,4,0.41,False,3,1,3.7382408e-05,Low
CUST10025,3,8,24,94,0,-1.0,-0.333,1.0,-2.0,4.25,25.5,95.25,0,1.258,7.853,49,pro,healthtech,7999,8,0.9,False,2,3,0.056450274,Low
CUST10026,5,3,31,63,0,-0.667,0.667,3.667,-10.333,5.5,25.25,104.5,0,1.0,7.274,42,starter,fintech,999,2,0.44,False,3,2,0.00414377,Low
CUST10027,6,0,31,132,0,0.0,-1.333,0.333,11.333,5.75,28.25,111.0,0,0.5,3.594,31,starter,healthtech,999,5,0.31,False,3,3,0.00021516431,Low
CUST10028,6,3,27,121,0,0.667,0.667,2.0,11.667,4.5,22.25,83.0,0,1.0,3.775,39,starter,edtech,999,9,0.69,False,3,1,0.14394741,Low
CUST10029,1,6,10,60,1,-1.333,0.0,-3.667,-19.333,4.0,21.0,88.0,1,2.16,8.287,32,pro,saas,7999,9,0.11,True,2,5,0.97292435,High
CUST10030,6,0,16,47,0,0.333,-1.0,-3.667,-12.667,6.25,24.0,77.0,0,0.957,8.756,50,starter,fintech,999,9,0.94,False,3,2,0.20916943,Low
CUST10031,4,8,21,113,0,-0.667,-1.0,-5.333,9.667,4.25,26.25,101.75,0,1.708,7.544,48,pro,logistics,7999,8,0.42,False,2,4,0.010242456,Low
CUST10032,5,6,12,113,0,-0.333,-2.667,-4.0,12.333,5.25,26.25,93.75,1,0.5,11.325,7,pro,logistics,7999,4,0.32,False,2,4,0.011270993,Low
CUST10033,5,17,22,98,1,0.333,1.0,0.0,3.333,4.5,23.75,90.75,1,0.577,4.924,17,enterprise,healthtech,19999,4,0.97,False,0,3,0.069156595,Low
CUST10034,7,4,14,134,0,1.333,1.0,-5.667,20.333,4.75,21.5,97.5,2,1.708,7.141,24,starter,edtech,999,6,0.98,False,3,1,0.0046769055,Low
CUST10035,7,10,39,106,0,0.667,0.667,7.0,14.0,5.25,26.75,92.75,0,1.708,10.966,18,pro,healthtech,7999,2,0.6,False,2,3,0.00029809173,Low
CUST10036,2,3,24,50,1,-0.667,-1.333,1.333,-15.0,3.5,26.75,68.5,3,1.915,10.308,52,growth,saas,2999,8,0.75,True,1,5,0.99818593,High
CUST10037,2,6,10,94,0,-1.0,-0.333,-2.667,-2.333,3.75,12.5,99.5,2,1.5,4.041,39,pro,fintech,7999,3,0.43,True,2,2,0.9856726,High
CUST10038,0,4,13,61,1,-1.333,-0.667,-7.0,-3.333,2.25,23.5,80.0,1,2.062,10.083,27,growth,healthtech,2999,10,0.41,True,1,3,0.9968502,High
CUST10039,6,13,11,97,0,1.333,-1.667,-6.0,4.333,4.25,20.5,93.5,0,2.062,8.062,43,enterprise,saas,19999,9,0.18,False,0,5,0.021481372,Low
CUST10040,5,1,19,78,0,0.0,-0.333,0.333,-22.667,4.0,20.75,109.25,0,1.414,6.292,44,starter,ecommerce,999,6,0.84,False,3,0,0.04688341,Low
CUST10041,5,1,11,30,1,0.333,-0.333,0.0,-19.667,4.75,18.25,57.0,4,0.5,8.461,11,starter,saas,999,2,0.42,True,3,5,0.9921679,High
CUST10042,4,0,28,120,0,0.333,-1.0,-0.667,19.333,3.75,26.0,87.0,1,0.957,3.916,9,growth,saas,2999,4,0.65,False,1,5,0.021313401,Low
CUST10043,2,11,34,65,0,-2.0,0.667,0.667,-13.0,4.25,28.0,68.0,1,3.304,7.616,44,pro,healthtech,7999,7,0.85,True,2,3,0.96122396,High
CUST10044,0,4,29,76,0,-1.333,0.667,5.667,-17.0,2.0,19.5,101.25,0,1.633,7.937,31,growth,ecommerce,2999,9,0.72,True,1,0,0.9665923,High
CUST10045,3,4,27,90,1,0.0,0.0,6.667,-3.333,3.25,14.5,94.0,3,0.5,9.95,14,growth,edtech,2999,4,0.45,True,1,1,0.98646533,High
CUST10046,3,2,30,76,0,0.333,0.0,3.0,0.0,3.25,25.25,89.5,1,1.258,3.686,9,starter,ecommerce,999,4,0.44,True,3,0,0.97617847,High
CUST10047,6,0,27,96,0,1.0,0.0,0.333,2.0,3.25,24.25,88.0,0,2.062,7.042,44,starter,ecommerce,999,2,0.36,True,3,0,0.98603266,High
CUST10048,2,0,21,71,0,-0.667,-1.333,-0.667,2.667,3.5,15.5,83.25,1,1.915,7.724,47,starter,edtech,999,10,0.73,True,3,1,0.9993167,High
CUST10049,2,4,20,59,0,-0.333,0.333,1.333,-8.0,1.75,17.5,85.75,1,1.258,3.697,38,growth,fintech,2999,3,0.37,True,1,2,0.9963965,High
CUST10050,4,3,21,150,0,-0.667,0.333,-2.0,18.333,4.75,27.25,117.0,0,0.957,4.5,19,starter,edtech,999,5,0.4,False,3,1,0.00020561747,Low
CUST10051,7,3,38,148,0,1.0,0.0,9.0,27.333,4.75,25.75,107.75,0,1.708,18.428,44,starter,saas,999,6,0.22,False,3,5,0.00039267953,Low
CUST10052,5,11,10,68,0,0.667,-0.667,-3.667,-8.667,5.0,18.0,81.5,0,2.16,5.715,16,pro,fintech,7999,5,0.66,False,2,2,0.112839386,Low
CUST10053,5,0,34,69,1,0.667,-0.667,0.667,-6.333,4.25,26.5,69.25,1,0.957,12.369,4,starter,saas,999,1,0.43,True,3,5,0.99688196,High
CUST10054,1,4,10,62,0,-1.0,-0.333,1.333,-12.333,2.25,14.5,83.25,1,1.5,7.681,13,growth,edtech,2999,7,0.58,True,1,1,0.99958974,High
CUST10055,6,3,29,57,0,-0.667,-1.0,5.667,-18.0,6.25,20.75,85.25,0,1.258,7.676,51,starter,saas,999,1,0.39,False,3,5,0.0029221447,Low
CUST10056,6,14,29,117,0,0.0,-0.333,-3.0,-14.333,4.75,28.25,125.25,0,1.893,7.136,32,enterprise,healthtech,19999,2,0.85,False,0,3,0.0024236897,Low
CUST10057,6,0,18,138,0,0.0,-1.333,1.0,14.333,6.5,23.5,125.5,0,0.577,12.45,27,starter,logistics,999,6,0.96,False,3,4,8.9404566e-05,Low
CUST10058,2,0,36,74,0,-1.667,-0.667,6.333,-16.333,4.75,28.5,111.0,0,2.217,10.661,25,starter,fintech,999,3,0.69,True,3,2,0.8834457,High
CUST10059,4,0,15,69,0,0.333,0.0,-0.333,-3.0,3.5,18.75,90.25,0,0.577,4.992,44,starter,saas,999,5,0.76,False,3,5,0.2893197,Low
CUST10060,5,3,3,95,1,-0.667,0.333,-5.0,-12.0,5.5,16.0,103.5,2,1.291,10.739,20,starter,fintech,999,8,0.98,True,3,2,0.9018293,High
CUST10061,3,1,15,75,1,-0.333,0.333,-4.0,-11.667,3.75,20.25,89.75,1,0.5,8.539,47,starter,logistics,999,6,0.45,True,3,4,0.9889368,High
CUST10062,3,3,13,69,1,-0.333,-1.0,-4.333,-5.0,4.5,20.75,77.0,2,1.732,5.737,50,growth,logistics,2999,3,0.98,True,1,4,0.98242986,High
CUST10063,4,9,8,93,0,0.0,1.0,-3.667,10.667,5.75,22.25,84.5,0,2.062,11.087,49,pro,logistics,7999,7,0.33,False,2,4,0.2621723,Low
CUST10064,6,5,17,21,0,0.333,-1.667,0.0,-32.667,5.25,21.75,92.75,0,0.5,6.185,13,pro,fintech,7999,3,0.66,False,2,2,0.007502407,Low
CUST10065,4,0,20,63,0,-0.333,0.0,-3.667,-13.0,2.75,25.25,99.25,0,2.062,4.573,36,starter,healthtech,999,1,0.56,True,3,3,0.9908909,High
CUST10066,6,3,40,119,0,0.333,0.333,8.333,-4.333,5.75,24.25,100.25,1,0.957,12.285,23,growth,ecommerce,2999,10,0.71,False,1,0,0.016715836,Low
CUST10067,5,3,26,127,0,0.0,-0.333,3.0,9.0,5.75,22.5,124.5,1,0.957,3.873,42,growth,saas,2999,1,0.89,False,1,5,0.00042990295,Low
CUST10068,5,0,22,88,0,0.333,-1.0,-3.667,11.333,3.25,26.25,80.5,1,1.5,4.717,14,starter,ecommerce,999,4,0.24,True,3,0,0.9900483,High
CUST10069,5,0,28,125,0,0.333,0.0,3.0,14.333,4.5,28.0,101.0,0,0.577,6.976,21,starter,fintech,999,8,0.13,False,3,2,0.00067417417,Low
CUST10070,3,17,22,84,0,0.333,0.667,-1.333,-14.667,3.75,21.5,84.25,1,1.708,3.697,47,enterprise,fintech,19999,1,0.57,False,0,2,0.09117524,Low
CUST10071,3,10,39,131,1,-1.0,-0.667,1.667,12.333,4.5,28.25,108.75,1,1.291,9.878,37,pro,ecommerce,7999,6,0.39,False,2,0,0.0009699364,Low
CUST10072,6,2,39,101,0,0.0,0.667,10.333,-6.667,5.0,26.75,110.25,0,1.155,14.728,16,starter,healthtech,999,2,0.79,False,3,3,0.0026589518,Low
CUST10073,8,0,25,61,0,1.333,-1.333,4.0,-9.0,4.5,24.75,85.0,1,2.517,8.261,36,starter,ecommerce,999,10,0.72,False,3,0,0.1228383,Low
CUST10074,4,4,20,42,1,-0.667,0.333,-3.0,-37.333,4.0,27.5,104.25,2,1.414,9.256,23,growth,saas,2999,6,0.93,True,1,5,0.15899467,Low
CUST10075,4,0,30,94,0,-0.667,-1.333,-5.667,14.0,5.0,30.0,69.75,1,1.826,12.193,45,starter,saas,999,8,0.9,True,3,5,0.86989796,High
CUST10076,5,12,30,58,1,0.0,-1.0,-1.667,-10.667,4.25,28.25,68.5,3,0.957,6.702,44,enterprise,saas,19999,2,0.93,True,0,5,0.9520624,High
CUST10077,8,4,9,86,1,0.667,-0.667,-10.0,13.667,5.75,22.75,99.0,1,1.708,12.393,7,growth,fintech,2999,7,0.55,False,1,2,0.021198628,Low
CUST10078,5,2,20,118,0,0.0,0.667,-4.333,10.0,6.0,21.5,87.5,1,1.155,7.853,38,starter,saas,999,8,0.22,False,3,5,0.092509426,Low
CUST10079,7,2,19,91,0,1.0,-0.667,-1.0,11.333,5.75,25.25,87.0,0,1.5,8.016,40,starter,fintech,999,3,0.36,False,3,2,0.012187117,Low
CUST10080,6,11,17,154,0,0.0,0.333,-5.0,9.0,5.5,24.0,122.75,1,1.0,6.164,28,pro,fintech,7999,6,0.96,False,2,2,0.0003801713,Low
CUST10081,1,2,20,139,0,-0.333,-1.0,-1.667,4.333,3.25,25.75,130.25,0,2.63,4.272,6,growth,saas,2999,5,1.0,False,1,5,0.013998209,Low
CUST10082,3,8,24,49,0,-0.667,0.333,0.0,-9.667,3.25,17.75,60.25,1,1.708,7.32,7,growth,ecommerce,2999,9,0.2,True,1,0,0.99350196,High
CUST10083,4,6,16,154,0,-0.667,-1.333,-2.667,20.0,5.25,23.0,108.25,0,1.5,5.033,19,pro,saas,7999,3,0.59,False,2,5,9.274938e-05,Low
CUST10084,6,14,19,140,0,0.333,1.667,-2.667,19.667,5.0,23.5,77.0,0,0.816,8.062,46,pro,saas,7999,9,0.7,False,2,5,0.0004529039,Low
CUST10085,3,6,10,81,1,-0.333,0.333,-4.333,11.333,4.25,19.25,63.5,1,1.258,8.421,20,growth,healthtech,2999,4,0.69,True,1,3,0.99101746,High
CUST10086,1,3,22,86,0,-1.667,-0.667,-1.333,-9.667,3.25,22.0,102.5,0,2.63,3.266,14,growth,saas,2999,4,0.96,True,1,5,0.9782996,High
CUST10087,6,4,34,89,0,0.333,-0.333,0.0,0.0,4.5,29.75,83.25,1,1.291,5.315,33,growth,saas,2999,4,0.54,False,1,5,0.057009906,Low
CUST10088,5,6,44,115,0,-0.333,-2.333,6.0,23.333,6.0,31.0,91.5,1,0.816,8.679,48,pro,saas,7999,3,0.46,False,2,5,0.00020754225,Low
CUST10089,4,10,19,84,0,-0.667,1.333,-3.0,-3.333,5.0,20.75,94.0,0,1.155,5.123,19,growth,healthtech,2999,5,0.47,False,1,3,0.039824527,Low
CUST10090,8,12,21,120,0,0.667,-1.667,-4.0,-4.333,5.75,28.75,116.5,1,1.708,5.315,35,enterprise,edtech,19999,5,0.37,False,0,1,0.00072665024,Low
CUST10091,6,1,25,95,0,0.0,-1.333,-4.0,7.333,5.5,27.5,84.5,0,0.577,8.021,35,starter,healthtech,999,10,0.9,False,3,3,0.004949376,Low
CUST10092,4,1,13,78,1,-0.333,0.333,-6.667,4.333,4.5,20.75,78.0,1,0.577,8.578,40,starter,fintech,999,6,0.88,True,3,2,0.97507024,High
CUST10093,8,2,32,116,0,1.667,0.333,6.333,7.333,4.75,21.25,108.0,0,2.363,9.287,49,starter,ecommerce,999,4,0.53,False,3,0,0.0017073822,Low
CUST10094,5,14,26,80,1,0.333,-0.667,0.333,-7.667,4.5,20.25,87.25,1,0.577,11.529,30,enterprise,ecommerce,19999,8,0.16,True,0,0,0.9425594,High
CUST10095,3,2,27,124,1,-1.333,-0.333,3.333,-2.333,6.0,23.0,120.5,3,2.0,6.481,8,starter,ecommerce,999,8,0.98,False,3,0,0.011827925,Low
CUST10096,8,3,43,70,0,1.333,-0.667,8.333,-19.667,5.75,32.5,101.25,0,2.062,11.091,36,growth,ecommerce,2999,4,0.34,False,1,0,0.002387742,Low
CUST10097,5,4,33,88,0,-0.667,0.0,2.0,7.333,5.75,24.75,78.25,0,0.957,8.421,52,starter,ecommerce,999,5,0.1,False,3,0,0.06206561,Low
CUST10098,6,0,20,96,0,0.0,-0.333,1.667,10.333,5.5,21.5,78.75,0,1.732,5.802,48,starter,healthtech,999,1,0.67,True,3,3,0.9433284,High
CUST10099,3,0,17,68,1,-0.333,-1.667,-1.667,-14.667,2.5,24.5,87.25,3,1.291,13.329,42,starter,logistics,999,6,0.94,True,3,4,0.98960084,High
CUST10100,4,7,22,98,1,-0.333,1.333,4.667,-8.0,4.25,19.75,100.0,2,0.957,9.106,36,pro,edtech,7999,7,0.87,True,2,1,0.09104324,Low
CUST10101,5,7,27,127,1,0.0,1.333,-1.0,22.0,5.5,30.5,85.25,3,0.577,7.416,27,growth,logistics,2999,3,0.32,False,1,4,0.00020388389,Low
CUST10102,7,0,22,114,0,1.333,-0.333,-1.333,19.333,4.75,22.5,105.75,1,1.708,13.279,45,starter,fintech,999,5,0.16,False,3,2,0.0040527517,Low
CUST10103,6,9,30,58,0,0.667,0.333,-1.667,-3.0,4.75,29.0,86.75,1,0.957,5.831,41,pro,edtech,7999,1,0.76,False,2,1,0.022960458,Low
CUST10104,9,12,19,117,0,2.0,1.0,-1.667,20.667,6.5,27.25,95.25,0,2.517,8.995,28,pro,healthtech,7999,10,0.63,False,2,3,0.00013357149,Low
CUST10105,6,11,25,117,0,0.667,0.0,-1.0,3.333,4.75,29.25,131.5,0,1.5,5.315,12,pro,logistics,7999,9,0.97,False,2,4,0.0004097852,Low
CUST10106,4,4,7,91,1,0.0,1.333,0.0,3.0,4.25,17.75,97.5,1,0.5,13.5,32,starter,healthtech,999,5,0.95,True,3,3,0.9288358,High
CUST10107,4,4,37,84,0,0.0,-0.667,7.667,-13.0,4.75,26.25,106.25,0,0.957,9.979,28,growth,logistics,2999,1,0.86,False,1,4,0.004618501,Low
CUST10108,6,10,21,52,0,1.0,-0.667,-0.667,-30.0,3.5,23.75,97.0,1,1.732,4.272,22,pro,saas,7999,7,0.15,False,2,5,0.057955902,Low
CUST10109,4,0,24,77,1,-0.333,-1.0,-1.0,-5.667,5.0,28.25,111.25,3,0.816,3.403,31,starter,healthtech,999,7,0.23,False,3,3,0.08025889,Low
CUST10110,5,7,25,66,1,0.0,-0.667,1.333,-14.0,5.0,20.5,124.0,1,0.816,8.813,11,pro,saas,7999,3,0.42,False,2,5,0.04636234,Low
CUST10111,6,6,22,131,1,1.333,0.667,-0.333,17.333,4.0,27.5,108.5,1,1.826,6.856,8,growth,fintech,2999,1,0.96,False,1,2,0.00046245678,Low
CUST10112,6,11,37,128,0,0.333,1.333,4.667,7.667,5.0,28.5,100.0,1,0.816,6.028,43,pro,saas,7999,10,0.15,False,2,5,5.557037e-05,Low
CUST10113,4,4,24,134,0,-0.667,0.333,-3.667,0.333,5.25,23.5,119.75,0,0.957,8.737,8,growth,fintech,2999,2,0.89,False,1,2,0.0022926102,Low
CUST10114,6,7,22,109,0,0.667,-0.333,4.333,12.333,6.0,22.25,91.25,0,1.414,13.022,17,growth,edtech,2999,4,0.96,False,1,1,0.0004116997,Low
CUST10115,3,4,22,68,0,-1.0,0.333,2.667,-3.0,3.5,19.0,72.5,2,1.732,4.761,30,starter,ecommerce,999,10,0.62,True,3,0,0.9990891,High
CUST10116,6,0,27,83,0,1.0,-0.667,-1.667,-6.333,4.5,28.25,102.75,0,1.291,8.539,48,starter,saas,999,8,0.53,False,3,5,0.004508241,Low
CUST10117,3,0,29,78,0,0.667,0.0,-0.667,-4.333,3.0,30.25,67.5,1,2.16,5.377,41,starter,ecommerce,999,2,0.95,True,3,0,0.9966191,High
CUST10118,3,2,23,151,0,-1.0,0.333,-0.667,27.667,4.75,27.25,104.75,1,1.5,5.315,52,starter,logistics,999,7,0.69,False,3,4,0.0036125414,Low
CUST10119,4,3,19,85,0,-1.0,0.0,-1.667,3.0,4.25,24.0,93.25,0,2.062,3.742,4,growth,ecommerce,2999,10,0.79,False,1,0,0.123180896,Low
CUST10120,4,1,26,76,0,-0.333,-0.667,0.667,1.333,4.25,28.5,61.5,0,0.957,8.426,15,growth,saas,2999,10,0.75,False,1,5,0.116397455,Low
CUST10121,6,3,21,132,0,0.0,0.0,-2.667,4.333,6.0,24.25,103.0,0,0.816,5.62,50,growth,edtech,2999,4,0.67,False,1,1,0.0028740675,Low
CUST10122,3,2,23,96,1,-0.667,-0.667,-7.333,-23.0,4.0,31.75,105.25,1,1.155,9.359,39,starter,edtech,999,2,0.31,True,3,1,0.9476295,High
CUST10123,4,2,5,56,0,0.667,-0.667,-6.333,-8.333,2.75,14.5,75.25,0,0.957,8.021,26,growth,healthtech,2999,10,0.24,True,1,3,0.99438864,High
CUST10124,4,7,36,82,0,-0.667,-1.0,4.333,-7.333,5.25,24.5,84.5,0,0.957,8.66,35,pro,healthtech,7999,1,0.97,False,2,3,0.011538157,Low
CUST10125,0,1,0,53,1,-1.667,0.0,-6.0,-13.0,3.5,14.5,65.5,1,3.109,9.747,15,starter,ecommerce,999,3,0.91,True,3,0,0.99966645,High
CUST10126,5,14,24,99,0,0.0,-1.667,-0.333,12.333,5.25,26.5,85.25,2,0.5,4.359,23,enterprise,saas,19999,1,0.43,False,0,5,0.008139983,Low
CUST10127,3,0,19,56,0,0.0,-1.0,0.333,-21.0,3.75,22.75,70.0,1,1.5,4.992,48,starter,healthtech,999,9,0.38,True,3,3,0.9977187,High
CUST10128,4,1,20,63,0,0.0,0.333,-4.667,-13.333,3.5,27.0,95.5,1,1.0,6.583,5,starter,saas,999,7,0.47,True,3,5,0.8872882,High
CUST10129,7,2,30,61,0,0.0,-1.333,-1.333,-17.667,6.5,33.25,77.0,0,0.577,2.217,43,growth,healthtech,2999,10,0.57,False,1,3,0.0007673209,Low
CUST10130,5,5,21,82,0,0.0,0.667,-3.667,0.333,5.0,22.75,90.5,0,0.816,6.449,30,growth,logistics,2999,2,0.44,True,1,4,0.75069505,High
CUST10131,4,12,36,76,0,-0.333,-2.0,-0.333,-13.667,3.5,28.0,91.25,0,2.38,10.033,5,enterprise,saas,19999,3,0.88,True,0,5,0.93341655,High
CUST10132,5,0,22,100,0,-0.333,-0.333,-0.667,14.667,5.5,23.25,79.25,0,0.577,0.957,11,starter,saas,999,3,0.42,False,3,5,0.007861752,Low
CUST10133,2,1,37,78,0,-0.667,-0.333,6.333,-16.333,4.5,20.5,102.75,1,2.082,11.387,7,starter,healthtech,999,4,0.89,True,3,3,0.94609374,High
CUST10134,5,4,30,142,0,1.0,0.667,-2.333,6.667,3.5,23.25,114.0,0,1.291,12.42,52,starter,saas,999,6,0.3,False,3,5,0.001908979,Low
CUST10135,6,2,44,128,0,-0.333,-1.333,5.667,-2.333,6.5,30.75,127.5,1,0.577,8.884,16,growth,healthtech,2999,1,0.61,False,1,3,0.00035593688,Low
CUST10136,4,3,35,111,0,0.0,-0.333,4.333,11.333,5.25,27.75,95.5,1,1.893,5.62,37,starter,logistics,999,5,0.55,False,3,4,0.0017160263,Low
CUST10137,3,4,12,68,0,-0.333,-0.333,-2.667,-8.333,3.75,23.25,82.0,1,0.957,8.995,20,growth,edtech,2999,5,0.83,True,1,1,0.99381447,High
CUST10138,2,2,17,86,1,0.0,-0.667,-3.333,-5.667,2.5,24.0,72.25,1,1.0,6.218,25,starter,saas,999,9,0.57,True,3,5,0.9994061,High
CUST10139,6,2,27,83,0,0.667,0.667,3.0,7.667,5.0,29.75,95.25,0,1.155,9.142,50,starter,saas,999,6,0.8,False,3,5,0.00068190735,Low
CUST10140,7,8,28,44,0,0.667,2.333,5.0,-25.0,5.75,22.0,110.0,1,1.5,6.976,34,growth,logistics,2999,6,0.56,False,1,4,0.0002980076,Low
CUST10141,5,14,21,46,0,-0.667,-0.667,5.0,-29.667,5.5,21.75,95.75,1,1.915,13.5,42,enterprise,ecommerce,19999,9,0.87,False,0,0,0.015518903,Low
CUST10142,5,5,26,101,0,-0.333,0.333,2.667,-14.0,4.75,24.5,100.0,0,0.957,5.972,43,pro,fintech,7999,10,0.79,False,2,2,0.040803593,Low
CUST10143,5,12,8,99,0,0.333,1.333,-2.667,13.0,4.5,16.25,85.0,1,1.291,7.932,4,pro,healthtech,7999,7,0.85,False,2,3,0.07765876,Low
CUST10144,5,6,35,103,0,0.0,1.667,7.0,-9.0,4.25,22.25,105.5,1,0.957,12.685,10,starter,saas,999,9,0.82,False,3,5,0.03594989,Low
CUST10145,4,14,23,69,1,0.333,0.333,-2.667,-18.333,3.0,25.25,99.5,1,1.414,3.862,36,enterprise,ecommerce,19999,3,0.65,False,0,0,0.089020476,Low
CUST10146,5,1,18,64,1,0.667,-1.667,0.667,-5.333,4.0,16.75,81.0,1,1.155,1.5,13,growth,ecommerce,2999,1,0.28,True,1,0,0.99656373,High
CUST10147,3,0,21,93,0,-0.333,-1.0,2.0,-6.333,4.25,22.75,120.5,0,1.258,6.344,26,starter,fintech,999,3,0.68,False,3,2,0.038798817,Low
CUST10148,6,6,15,106,0,1.0,0.333,-2.0,-8.0,4.25,18.75,96.0,0,1.258,9.743,14,growth,saas,2999,8,0.87,False,1,5,0.106296495,Low
CUST10149,5,14,17,146,1,0.333,-0.333,-0.333,12.0,4.5,18.75,107.5,1,0.577,6.702,50,enterprise,healthtech,19999,1,0.43,False,0,3,0.000486185,Low
CUST10150,5,2,22,114,0,-0.667,-1.333,-2.333,17.333,5.0,29.0,90.25,0,1.633,5.354,37,growth,edtech,2999,10,0.79,False,1,1,0.0042560073,Low
CUST10151,5,4,31,129,0,-0.333,-0.333,2.667,16.0,5.25,26.25,104.75,0,0.5,7.719,45,growth,edtech,2999,7,0.57,False,1,1,0.00010312631,Low
CUST10152,3,5,36,66,0,-1.667,-1.0,6.667,-23.0,4.75,26.5,92.75,0,2.217,8.813,7,pro,fintech,7999,8,0.46,True,2,2,0.065716386,Low
